tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,wertot.com,files-100-500/wertot.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,wo.tc,files-100-500/wo.tc,A_ADD,ok,,10wonsoft.wo.tc..txt,,102.99600000000001,0.755,,,,,num_lec=1538; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wo.tc/A_ADD/stderr.log
Aether,files-100-500,wo.tc,files-100-500/wo.tc,A_UPDATE,ok,,10wonsoft.wo.tc..txt,,92.167,0.764,,,,,num_lec=1537; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wo.tc/A_UPDATE/stderr.log
Aether,files-100-500,wo.tc,files-100-500/wo.tc,NS_UPDATE,ok,,10wonsoft.wo.tc..txt,,99.913,1.206,,,,,num_lec=1537; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wo.tc/NS_UPDATE/stderr.log
Aether,files-100-500,wo.tc,files-100-500/wo.tc,CNAME_UPDATE,ok,,noel.wo.tc..txt,,100.366,0.74,,,,,num_lec=1537; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wo.tc/CNAME_UPDATE/stderr.log
Aether,files-100-500,www.de,files-100-500/www.de,A_ADD,ok,,131840.kq.bpod.www.de..txt,,49.68200000000001,0.791,,,,,num_lec=875; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__www.de/A_ADD/stderr.log
Aether,files-100-500,www.de,files-100-500/www.de,A_UPDATE,ok,,131840.kq.bpod.www.de..txt,,50.301,0.683,,,,,num_lec=874; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__www.de/A_UPDATE/stderr.log
Aether,files-100-500,www.de,files-100-500/www.de,NS_UPDATE,ok,,131840.kq.bpod.www.de..txt,,50.284,0.8,,,,,num_lec=874; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__www.de/NS_UPDATE/stderr.log
Aether,files-100-500,www.de,files-100-500/www.de,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,x-y.net,files-100-500/x-y.net,A_ADD,ok,,abcenglish.x-y.net..txt,,36.031000000000006,0.397,,,,,num_lec=637; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x-y.net/A_ADD/stderr.log
Aether,files-100-500,x-y.net,files-100-500/x-y.net,A_UPDATE,ok,,abcenglish.x-y.net..txt,,35.480000000000004,0.993,,,,,num_lec=636; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x-y.net/A_UPDATE/stderr.log
Aether,files-100-500,x-y.net,files-100-500/x-y.net,NS_UPDATE,ok,,abcenglish.x-y.net..txt,,34.569,0.556,,,,,num_lec=636; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x-y.net/NS_UPDATE/stderr.log
Aether,files-100-500,x-y.net,files-100-500/x-y.net,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,x0.com,files-100-500/x0.com,A_ADD,ok,,0155.x0.com..txt,,110.27900000000001,0.86,,,,,num_lec=2066; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x0.com/A_ADD/stderr.log
Aether,files-100-500,x0.com,files-100-500/x0.com,A_UPDATE,ok,,0155.x0.com..txt,,111.64500000000001,0.573,,,,,num_lec=2065; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x0.com/A_UPDATE/stderr.log
Aether,files-100-500,x0.com,files-100-500/x0.com,NS_UPDATE,ok,,0155.x0.com..txt,,123.13000000000001,0.442,,,,,num_lec=2065; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__x0.com/NS_UPDATE/stderr.log
