tool,group,dataset,dataset_id,scenario,status,zone_files,updated_zone_file,rr_count,initial_total_ms,incremental_ms,full_update_ms,delta_operations,affected_nodes,wall_ms,detail
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,A_ADD,ok,,42ndstreet.wblogin.com..txt,,21.743999999999996,0.23299999999999998,,,,,num_lec=399; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/A_ADD/stderr.log
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,ok,108,42ndstreet.wblogin.com..txt,183,52.10636900000001,0.276084,0.360342,2,2,0.651445,
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,A_UPDATE,ok,,42ndstreet.wblogin.com..txt,,24.076,0.258,,,,,num_lec=398; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/A_UPDATE/stderr.log
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,ok,108,wblogin.com..txt,183,52.10636900000001,0.348944,0.409173,2,5,0.77739,
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,NS_UPDATE,ok,,wblogin.com..txt,,24.295,0.245,,,,,num_lec=398; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wblogin.com/NS_UPDATE/stderr.log
VeriDNS,files-100-500,wblogin.com,files-100-500/wblogin.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
Aether,files-100-500,wblogin.com,files-100-500/wblogin.com,CNAME_UPDATE,skipped,,,,,,,,,,no CNAME record
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.13398,0.2713,1,0,0.412682,
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,A_ADD,ok,,aldertrootes.wcpss.net..txt,,21.643000000000004,0.078,,,,,num_lec=246; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/A_ADD/stderr.log
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.286975,0.370471,2,3,0.673688,
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,A_UPDATE,ok,,aldertrootes.wcpss.net..txt,,18.893,0.006,,,,,num_lec=245; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/A_UPDATE/stderr.log
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,ok,101,aldertrootes.wcpss.net..txt,390,59.235845,0.328583,0.442247,2,3,0.788521,
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,NS_UPDATE,ok,,aldertrootes.wcpss.net..txt,,21.569,0.006,,,,,num_lec=245; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/NS_UPDATE/stderr.log
VeriDNS,files-100-500,wcpss.net,files-100-500/wcpss.net,CNAME_UPDATE,ok,101,apexes.wcpss.net..txt,390,59.235845,0.353353,1.273133,2,4,1.644652,
Aether,files-100-500,wcpss.net,files-100-500/wcpss.net,CNAME_UPDATE,error,,,,,,,,,,exit=101; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__wcpss.net/CNAME_UPDATE/stderr.log
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.164823,0.711475,1,0,0.884141,
Aether,files-100-500,webd.pl,files-100-500/webd.pl,A_ADD,ok,,1lokrasnystaw.webd.pl..txt,,173.82899999999998,0.689,,,,,num_lec=2242; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/A_ADD/stderr.log
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.590283,1.04328,2,6,1.652786,
Aether,files-100-500,webd.pl,files-100-500/webd.pl,A_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,166.358,1.071,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/A_UPDATE/stderr.log
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.581219,1.686657,2,6,2.300236,
Aether,files-100-500,webd.pl,files-100-500/webd.pl,NS_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,129.05599999999998,0.5630000000000001,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/NS_UPDATE/stderr.log
VeriDNS,files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,ok,287,1lokrasnystaw.webd.pl..txt,2164,223.17369399999984,0.552628,1.709835,2,6,2.29231,
Aether,files-100-500,webd.pl,files-100-500/webd.pl,CNAME_UPDATE,ok,,1lokrasnystaw.webd.pl..txt,,128.37,2.5029999999999997,,,,,num_lec=2241; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webd.pl/CNAME_UPDATE/stderr.log
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,A_ADD,ok,270,a7lajram.webng.com..txt,513,130.090351,0.132527,0.297539,1,0,0.437456,
Aether,files-100-500,webng.com,files-100-500/webng.com,A_ADD,ok,,a7lajram.webng.com..txt,,41.17999999999999,0.598,,,,,num_lec=824; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webng.com/A_ADD/stderr.log
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,A_UPDATE,ok,270,a7lajram.webng.com..txt,513,130.090351,0.289842,0.36704,2,3,0.672304,
Aether,files-100-500,webng.com,files-100-500/webng.com,A_UPDATE,ok,,a7lajram.webng.com..txt,,46.67000000000001,0.28600000000000003,,,,,num_lec=823; stderr=/home/rulan_yang/DNS-verification/experiments/results/incremental_all/aether_cases/files-100-500__webng.com/A_UPDATE/stderr.log
VeriDNS,files-100-500,webng.com,files-100-500/webng.com,NS_UPDATE,ok,270,webng.com..txt,513,130.090351,0.713496,0.977585,2,8,1.729955,
